rank,Video,Video_views,Likes,Dislikes,Category,published
98,AIELLO - ORA (Official Video - Sanremo 2021),1132390,23083,887,Music,2021
99,JADE - Angel Of My Dreams (Official Video),5396154,214969,0,Music,2024
100,Sauti Sol - Lil Mama (Official Audio),1642529,27426,0,Music,2022
101,Static & Ben El - Bella,3305681,10461,626,Music,2021
102,"Sabe que os mlk é drake, não é bigode não",1415045,18770,0,Music,2024
103,Destroy Lonely - if looks could kill (Official Music Video),830566,58361,0,Music,2023
104,偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物,685189,30320,0,Music,2024
105,Oxlade - KU LO SA (Official Video),6005457,134873,0,Music,2022
106,Rauw Alejandro - Touching The Sky (Official Video),3139901,109406,0,Music,2024
107,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,6849596,59198,0,Music,2024
108,Trueno - PULL UP! (Official Video),1434999,86484,0,Music,2024
109,"Fasma, GG - Parlami (Official Video - Sanremo 2021)",757718,25704,243,Music,2021
110,"ILLENIUM, Jon Bellion - Good Things Fall Apart",10358663,169009,3138,others,2019
111,Isadora Pompeo - Tetelestai (Ao Vivo) ft. Carol Tauber,1205733,34861,0,Music,2024
112,ARIETE - MARE DI GUAI (Official Video - Sanremo 2023),1130141,17689,0,Music,2023
113,Dennis Lloyd - Never Go Back (Official Video),720437,26772,274,Music,2019
114,Insta Vs Reality 😲😍 #travel #unrealplaces #explore #nature,73165517,2967591,0,Travel & Events,2024
115,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988",39407674,97009,747,Education,2009
116,Bird learns how life works,4916042,74420,703,Gaming,2015
117,Kid at Minecon 2016 asks what we all wish we could answer,1669272,23510,502,People & Blogs,2016
118,Cazzu - Miedo,2761300,289010,7719,Music,2020
119,"Gazo, Tiakola - CARTIER (Visualizer)",1366275,34494,0,Music,2023
120,UWAIE,8114376,122955,0,Music,2024
121,Trueno - REAL GANGSTA LOVE (Official Video),15985735,263086,0,Music,2024
122,Jim Carrey THE FUNNIEST video,8322488,6216,11521,Comedy,2007
123,Fedez - PRIMA DI OGNI COSA (Teaser),885149,29689,2992,Music,2018
124,"Lil Nas X, Cardi B - Rodeo (Official Audio)",1783881,254185,8177,Music,2019
125,Conan Gray - The Story,252272,72135,195,Music,2020
126,Doug Fernandez gives up,2002491,19461,185,People & Blogs,2017
127,Ysrael Barajas - GPI 2 (Video Oficial),983919,20719,0,Music,2024
128,"Gazo, Tiakola - NOTRE DAME (Visualizer)",1551825,27064,0,Music,2023
129,Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,3510345,32449,248,Film & Animation,2017
130,Aslay - Inauma (Official Music Video),1606569,34829,0,Music,2023
131,We asked you... What do you Chooze ?,1018713,2413,12,Autos & Vehicles,2017
132,Drawing the pillar of life🥶🗿#trollface #trollfaceedit #troll,133062446,3173002,0,People & Blogs,2025
133,Gazo - 100K (Visualizer),1167599,32821,0,Music,2023
134,ALFA - Vai! (Official Video - Sanremo 2024),5192650,49065,0,Music,2024
135,Classy 101,11170714,157703,0,Music,2023
136,Tenacious D - Explosivo,2754518,10186,204,Entertainment,2006
137,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2209874850,9768545,0,Music,2019
138,"J.P., NLE Choppa - Bad Bitty (Remix) [Official Music Video]",987265,46378,0,Music,2024
139,Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,2124429,19110,1256,Music,2019
140,PUN - BF (feat. URBOYTJ),1588998,39090,0,Music,2024
141,Old man is having fun under metallica,2566313,25274,399,Entertainment,2017
142,DIE 4 YOU,5766751,65566,0,Music,2023
143,Rocket Blast Off #messingaround #flying #fun #brothers #playing #hangtime,156690686,1868300,0,Sports,2024
144,너라는 별,4406467,18295,0,Music,2024
145,Eladio Carrión - Cuevita (Live Session) | Vevo ctrl,2246356,26765,0,Music,2023
146,Say My Name,1845505,18095,0,Music,2023
147,ETA (RMX),1036672,33644,0,Music,2024
148,Big Homiie G - Who Got It (Official Video) ft. Finesse2Tymes,865867,24156,0,Music,2022
149,"GloRilla, Cardi B - Tomorrow 2 (Official Music Video)",31909765,638566,0,Music,2022
150,"Asake, Travis Scott - Active (Official Video)",6232792,184120,0,Music,2024
151,Eden Muñoz - Traigo Saldo y Ganas de Rogar,1077182,18109,0,Music,2024
152,DAY - Na Sua Mão,311930,35208,325,Music,2019
153,Laf 2.0,1068698,11495,0,Music,2024
154,So adorable! 💕 #cute #animal #rocks #baby,105921315,1482485,0,Entertainment,2025
155,Grandma Dottie's Prom Dress Surprise,8414676,2442,103,People & Blogs,2012
156,Фортеця Бахмут,700921,20921,0,Music,2023
157,Not a mechanical baby,14612153,3339,156,Entertainment,2011
158,Prohibidox,7149556,109633,0,Music,2022
159,Mark Tuan - lonely (rock version) [Official Video],250551,47398,0,Music,2022
160,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],4941173,121986,0,Music,2024
161,Nikita Kering' - On Yah (Intro),726705,32777,0,Music,2022
162,Coma_Cose - L'ADDIO (Official Video - Sanremo 2023),3672887,41513,0,Music,2023
163,Nanpa Básico - Cuando Vienes (Official Video),686747,24507,0,Music,2024
164,Doechii - DENIAL IS A RIVER (Official Video),9950373,770587,0,Music,2025
165,Destroy Lonely - how u feel? (Official Music Video),845139,46444,0,Music,2023
166,‎Good Night Good Dream (좋은 밤 좋은 꿈),1776477,9118,0,Music,2024
167,don't leave me (거짓말처럼),1787169,13937,0,Music,2024
168,Bi Polar (SAYGI1),885313,12792,0,Music,2024
169,Im sorry?,3670491,30180,171,People & Blogs,2017
170,44 Magnum Las Vegas,2345415,7883,259,People & Blogs,2010
171,Parks and Rec Come back joke,2482309,20964,224,Comedy,2012
172,ECKO - ICE (Official Video),2229501,149653,10701,Music,2018
173,Marshmello x Jonas Brothers - Leave Before You Love Me (Official Music Video),344124,62256,559,Music,2021
174,David Beckham crazy pass (cross),17275250,32362,752,Sports,2008
175,Можно я с тобой,1356781,37200,0,Music,2024
176,No_se_ve.mp3,3085869,45677,0,Music,2023
177,"Silverado 500,000 mile celebration",836184,11538,283,People & Blogs,2017
178,Morray - Can’t Use Me (Official Music Video),345086,26022,289,Music,2021
179,FMK - Parte de Mi (Official Video) ft. Lit Killah,303497,71457,517,Music,2019
180,Me And The Devil (SLOWED + ECO),1593787,18204,0,Music,2025
181,"Begun, the Duck War has",3586169,51443,300,Entertainment,2017
182,Meet Will,3121597,40432,313,Comedy,2018
183,Роман Курцын рассказывают всю правду о фильме «Крым»,836941,23924,23364,People & Blogs,2017
184,Helena - Summer Body (Clip Officiel),921210,43854,0,Music,2024
185,Maximus by Kerbedanz - the biggest known tourbillon for wristwatch,1263651,10376,126,People & Blogs,2017
186,girl in red - Too Much (Official Video),268038,31023,0,Music,2024
187,Artifact new game announcement from Valve crowd reaction,1301165,17084,1900,Music,2017
188,Rels B - ORGULLO (Videoclip Oficial),340606,72349,815,Music,2019
189,Brenda Lee - Rockin' Around The Christmas Tree (Official Music Video),2605084,55604,0,Music,2023
190,Mephisto,832845,21237,0,Music,2023
191,¡Que Te Pasa!,1668686,24060,0,Music,2024
192,Clumsy Dog,3432791,24140,254,Gaming,2017
193,A disabled duckling helps his cat friend 🐥 #DuckRescue #CuteAnimals #AnimalRescue,114441704,3749872,0,Entertainment,2024
194,tommy wiseau can't understand millennials,3320857,28326,198,Comedy,2017
195,"Tainy, J Balvin - Agua (Music From ""Sponge On The Run"" Movie/Official Lyrics)",1936929,186235,6564,Music,2020
196,Yo Vengo De La Nada,592930,13705,0,Music,2024
197,Tiryakinim,6332540,64248,0,Music,2024
198,El Connecto,3583270,41735,485,People & Blogs,2018
199,ORIGAMI ALL'ALBA - CLARA,2030824,26233,0,Music,2023
200,Fo fo fo fo fristajlo!,2894700,6108,152,Comedy,2007
201,"""Drake"" on the Tube...",2683856,7414,457,Comedy,2012
202,Minimum ça,680629,11809,0,Music,2024
203,Flying nut high five,7852043,62744,748,People & Blogs,2014
204,Tems - Crazy Tings (Official Video),2496817,91980,979,Music,2021
205,"Raisa, Ahmad Dhani - Biar Menjadi Kenangan (Official Lyric Video)",1891769,33390,0,Music,2023
206,Tiryakinim,8170818,45890,0,Music,2024
207,😂😂😂😂😂😂 I challenge you to a duel,33774303,2210308,0,Music,2024
208,Hitana,1614632,9651,0,Music,2023
209,My dad flew into town to surprise his parents.,888893,8190,113,People & Blogs,2016
210,DaBaby - ROCKSTAR (Live From The BET Awards/2020) ft. Roddy Ricch,1937851,212963,3907,Music,2020
211,Best Heavyweight Knockouts of All Time,5250458,5891,509,Sports,2007
212,Sobran Motivos,1574149,13731,0,Music,2024
213,Roblox Hack (NEW) - How to Get Free Robux - Robux Glitch (Get Free Items),546583,14662,454,Gaming,2017
214,Kep1er 케플러 | 'I do! Do you?' M/V,6448957,284632,0,Music,2023
215,"Beéle, Myke Towers, Feid - Barranquilla Bajo Cero (Official Video)",8254128,198513,0,Music,2022
216,Bıraktığın Gibi Burdayım,1291926,10366,0,Music,2024
217,My Diablo 3 Inferno Tactic,2362860,22368,787,Gaming,2012
218,Wedding first dance w/ surprise Jack Johnson Michael Jackson,16485606,15813,1360,Comedy,2007
219,"Chu,Tayousei.",739527,17094,0,Music,2022
220,Starcraft 2 Gameplay footage and unit preview,7529927,6075,772,Entertainment,2007
221,Massimo Pericolo - Non Parlarmi (Outro) (Official Video),586388,33599,0,Music,2023
222,Isadora Pompeo - Aliança (Ao Vivo),1535732,30924,0,Music,2024
223,Raisa - Bertahan / Pergi,922070,30510,0,Music,2022
224,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),4281153,119578,0,Music,2024
225,Dog reacts to return of Nathan after two year Mormon mission,6040429,5972,194,Pets & Animals,2015
226,"Dacă n-ai bani (feat. Beach, Please!)",1015509,9689,0,Music,2022
227,Aslay - Mozzah (Official Music Video),513530,21071,0,Music,2022
228,Jagwar Twin - Bad Feeling (Oompa Loompa) (Visualizer),3050307,91826,0,Music,2023
229,14 de Febrero,3119940,328395,0,Music,2023
230,Panchlait - Teaser 2 | Prem Modi | Funtime Entertainment,885706,5835,217,Film & Animation,2017
231,Mila Kunis Tells Off A Reporter In Fluent Russian,3324459,23701,834,Entertainment,2012
232,When You play dodgeball with a Softball player. licensing@rumble.com,2134991,12128,299,Comedy,2017
233,Super platano brothers,1595388,14720,344,Comedy,2017
234,Amapola,952452,18255,0,Music,2024
235,Negramaro - Ricominciamo tutto (Sanremo 2024),1095011,14122,0,Music,2024
236,Brother just sent me this,622782,8883,348,Entertainment,2017
237,Chiara Oliver - 3 de febrero (video oficial),505626,35212,0,Music,2024
238,WII,1634684,8333,338,Entertainment,2006
239,These Little Moments 🥹🤍 #toddler #siblings #cute,69659013,1117902,0,Howto & Style,2024
240,Doechii - What It Is (Block Boy) feat. Kodak Black [Official Video],3851533,106085,0,Music,2023
241,two fake umps.MOV,1338441,3712,135,Sports,2010
242,Roblox Hack - Robux Hacks - Roblox Secret Exploit (Android/without jailbreak),414973,29256,341,Gaming,2017
243,The ABSOLUTE BEST Fabric Tile Design You Won't Believe,57223159,1014976,0,People & Blogs,2025
244,My Love,583139,10498,0,Music,2024
245,Trueno - PLO PLO! (Visualizer),354072,38418,0,Music,2024
246,Suzuki Hayabusa with Turbo Vmax 390kmh,20146924,11010,1095,Autos & Vehicles,2006
247,pevecov popek poje na sexy back,37460296,4533,10949,Comedy,2007
248,You can't even text and walk,1154376,10616,496,People & Blogs,2017
249,Anas feat. Soolking - Sur Pp (Clip officiel),8075765,127110,0,Music,2023
250,Lil Tjay - Hold On (Official Audio),316785,42854,211,Music,2019
251,How to surprise a horse,1625194,7357,352,Comedy,2016
252,Superman Disguise,1388327,6100,97,People & Blogs,2010
253,Player 456 And His Team Survive Another Game I Squid Game Edit I #shorts,43383619,1552099,0,Film & Animation,2025
254,J.I. - Everything [Official Music Video],389208,33622,219,Music,2021
255,burp helium (so funny),12552948,81470,2073,People & Blogs,2014
256,McDonald's drive thru,726293,9536,207,People & Blogs,2016
257,Mulatto - Muwop (Official Video) ft. Gucci Mane,1048126,64451,2519,Music,2020
258,Bryan Behr - De Todos Os Amores,684366,12586,35,others,2020
259,"Aczino, Gera MX - Orígenes Vivos (Video Oficial)",1082313,81502,0,Music,2023
260,İNTİHAR,869318,9477,0,Music,2024
261,camera shutter speed matches helicopter`s rotor,3682223,53493,581,People & Blogs,2017
262,Gavin Magnus - Hearts on a Pendant (Official Video),1170069,80768,2719,Music,2020
263,Los Presidentes,712072,8473,0,Music,2024
264,Headie One - Princess Cuts (Official Video) ft. Young T & Bugsey,429900,29311,225,Music,2020
265,三代目 J SOUL BROTHERS from EXILE TRIBE / Rat-tat-tat (Music Video),1538191,57477,1246,People & Blogs,2020
266,고래 Dive Into You,852020,143052,276,Music,2021
267,"Andy Rivera, Totoy El Frio - No Es la Misma (Video Oficial)",298089,24333,277,Music,2021
268,Bıraktığın Gibi Burdayım,1889571,13340,0,Music,2024
269,VV - Neon Noir,447123,21012,0,Music,2023
270,"Ysrael Barajas, Miranda León - Ropa de Bazar (Letra/Lyrics)",303440,16638,0,Music,2024
271,Silent Monks Singing Halleluia,21061223,50817,1336,Comedy,2008
272,"Oxlade, Camila Cabello - KU LO SA (Official Video)",4750630,141891,0,Music,2022
273,Seen,1212699,8362,0,Music,2023
274,EVLİ MUTLU CISTAK,1024855,5714,0,Music,2024
275,Maradonna Gods Hand,3777997,2300,854,Sports,2007
276,ディア♡マイフレンド feat. ちゅーたん（CV：早見沙織）／HoneyWorks,1619449,56482,0,Music,2023
277,"Kevin AMF, Omar Landell - Blair (Video Oficial)",2762811,51542,0,Music,2024
278,Eden Muñoz - NTP,553461,14462,0,Music,2024
279,0 Sharpness knife test?💀,113886130,4702361,0,People & Blogs,2024
280,Exchange gift with my girls 🫶🫂,49970474,1810818,0,People & Blogs,2025
281,Если мент....,10748286,7504,4116,Music,2010
282,Guy orders bong. Package arrives and its an Xbox remote.,1486888,20547,933,People & Blogs,2018
283,Tu Boda 2,1501104,41056,0,Music,2024
284,Naruto german opening,2082329,27628,1967,Entertainment,2007
285,Real Boston Richey - Help Me (Official Music Video),783263,17671,0,Music,2024
286,Alkpote - Patek (Clip officiel) ft. Kalash Criminel,271206,16776,322,Music,2019
287,The Big Fat Quiz Of The 90s   Mr Blobby,951835,7347,121,People & Blogs,2014
288,Хоккей в фуре - вызов принят!,1556347,2726,1433,Sports,2017
289,Ready? Ready.,1486824,4805,143,People & Blogs,2016
290,Dog meets baby kitten,5856946,2705,83,People & Blogs,2014
291,Party Boy Corey Worthington and his Famous Sunglasses,896419,7060,152,News & Politics,2008
292,Lil Nas X - Panini (Official Audio),699364,162807,4419,Music,2019
293,"Ben&Ben - Dear | Official Lyric Video | Recorded Live in Firdaus Studio, Dubai",790924,32192,0,Music,2022
294,HURTZ,1140569,23225,0,Music,2023
295,Tengo Un Plan (Remix),2381406,41572,0,Music,2024
296,Обиратиму себе,637180,18265,0,Music,2024
297,Garam Dan Madu,1051681,18600,0,Music,2024
298,EDWIN SARKISSIAN BLOWS STUFF UP (REAL OR FAKE?COMMENT BELOW!)                #shorts #funny #comedy,27460495,1785958,0,Gaming,2024
299,"Olly, Angelina Mango, JVLI - Per due come noi (Official Video)",3822060,38443,0,Music,2024
300,İhtimallerde Yoksan,2028211,10812,0,Music,2024
301,c`e solo l inter... a farci ridere,2136208,3379,1966,Sports,2007
302,"Jeopardy ""Who Is The Spiciest Memelord"" ORIGINAL",1434589,25484,432,People & Blogs,2017
303,Танк Армата,3954302,4636,1033,others,2015
304,"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby",2031584,129397,1329,Music,2020
305,"42 Dugg, Roddy Ricch - 4 Da Gang (Official Music Video)",466902,31895,658,Music,2021
306,Zooming in the 90s fixed,3490548,59814,296,People & Blogs,2018
307,German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),5352751,6997,171,People & Blogs,2015
308,"This is a dollar, not a card",1144211,6389,132,People & Blogs,2017
309,Ayra Starr - Rush,17367547,272550,0,People & Blogs,2022
310,Селфхарм,3382541,114279,0,Music,2024
311,Tyla Yaweh - Stuntin' On You (Official Music Video) ft. DaBaby,2284537,86991,1164,Music,2020
312,Isadora Pompeo - Azeite (Ao Vivo),741351,18469,0,Music,2024
313,SHARK ATTACK - Don't touch the glass !!,2058082,7435,1067,People & Blogs,2014
314,Orangutan loves baby bump,5989058,4282,282,Music,2016
315,Happy Birthday Cody,734558,7194,191,Entertainment,2011
316,Arjan Vailly,5460189,64375,0,Music,2023
317,Struggling with a new Phone,1451235,16223,634,Entertainment,2017
318,Darell - Lollipop (Official Video),47154379,381348,0,Music,2023
319,A Needed Response,11622727,39804,1872,others,2013
320,Police take advantage of a Drunk Girl,36311875,24016,4340,News & Politics,2008
321,Halle - In Your Hands (Official Video),3395853,257865,0,Music,2024
322,Shopping at Walmart GONE WRONG,21204579,2190931,0,People & Blogs,2024
323,perfekte welle,2337888,4430,174,others,2005
324,Вигадав,540094,10695,0,Music,2024
325,Geraldine Loves Star Wars,4291444,86656,984,Entertainment,2016
326,2017 04 12 Przejscie,1098005,7520,422,People & Blogs,2017
327,"Jay Wheeler, Mora - Textos Fríos (Video Oficial)",13418225,213474,0,Music,2024
328,Идея  фотосессии для новорождённого,53051362,1156874,0,People & Blogs,2024
329,Imagine,1852377,42090,0,Music,2024
330,Maddie Waiting for the Beat to Drop,9868674,68446,2692,People & Blogs,2017
331,Rels B - SI NO TE VEO (Audio),398259,46530,291,Music,2019
332,Blümchen (Blossom) - Herz an Herz,2257460,3800,199,Music,2006
333,Ice Spice - Deli,23262740,512173,0,Music,2023
334,Amazing talent in painting,66925468,1437116,0,People & Blogs,2024
335,можно,368754,13587,0,Music,2024
336,Malty 2BZ - Black Side (Clip Officiel),288010,13130,0,People & Blogs,2022
337,Finally united again! Shot on ​⁠@insta360 X4 pilot below ​⁠@egorposokhin9187 #nike #justdoit,43054306,1001515,0,Sports,2024
338,"Dani Ribba, Tiago PZK - Cuando Me Ves (Official Video)",996589,171095,773,Music,2021
339,Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,9884005,7891,2334,People & Blogs,2009
340,#enchantedkingdom #wackywizard #winner #philippines,54645951,2849748,0,Entertainment,2024
341,WTC in a perfect world,3476635,5982,2129,Film & Animation,2007
342,Птиц засасывает вместе с зерном на хлебозаводе,3120409,21206,2663,People & Blogs,2016
343,westerland,5289591,8542,269,others,2006
344,Funny Foul Shot Blooper,2540079,3507,93,Sports,2011
345,Cupid (Twin Ver.),13169224,255470,0,Music,2023
346,Nuovaluce Beauty Acne Device Kickstarter Video FDA Cleared www.nuovalucebeauty.com,498941,4783,182,People & Blogs,2017
347,"Darell - ""Caliente"" Live Performance | Vevo",240125,15630,143,Music,2019
348,Apple Engineer Talks About New 2016 Macbook Pro,2501055,36876,729,Science & Technology,2016
349,When your Amish town is frozen,512991,4645,135,People & Blogs,2018
350,Phoenix - Lisztomania - Boston University Brat Pack Mashup,3824693,15236,858,others,2010
351,Parks and Recreation called it back in 2015. Cubs World Series 2016!,205257,1557,113,Travel & Events,2016
352,Dog scared by fart,5938416,3883,129,Comedy,2015
